"","SN","number.leaves","Learning.Rate","number.iteration","maximum.bin","maximum.depth","acu","precision","recall","fscore","corr","training.error","test.error"
"27",26,601,0.06985,11,3,5,0.829874361718606,0.690663153271849,0.364615384615385,0.44374440703667,0.549308319200069,0.118441919484431,0.205401143307707
"28",27,289,0.06985,11,3,5,0.829129250468101,0.699027417027417,0.382191142191142,0.487437139013933,0.56087439754329,0.11900178666077,0.195680211765368
"29",28,139,0.06985,11,3,5,0.835330908521392,0.699320098774687,0.367692307692308,0.460648511596354,0.559858805434345,0.118253074004261,0.200889865112219
"30",29,65,0.06985,11,3,5,0.833231200272725,0.775860837981331,0.351841491841492,0.471694290654925,0.554903904324553,0.11768917016803,0.187398270958295
"31",30,30,0.06985,11,3,5,0.82676199135413,0.731193998067063,0.388111888111888,0.482923708933214,0.547227395909576,0.119186989630806,0.192676496708819
"32",31,601,0.06985,11,4,4,0.82297536584887,0.787199197860963,0.247972027972028,0.365558002470248,0.554015215262264,0.145430430535939,0.206172146784873
"33",32,289,0.06985,11,4,4,0.82423933725175,0.746442922167583,0.278135198135198,0.401761875575878,0.553828407590263,0.143928738066095,0.201612008387563
"34",33,139,0.06985,11,4,4,0.81819602913219,0.778148639355536,0.284615384615385,0.407021715928272,0.545582122610015,0.14392703304734,0.19940522949164
"35",34,65,0.06985,11,4,4,0.817619634523728,0.726406926406926,0.342517482517483,0.456724714159005,0.545093196922875,0.143363953073011,0.197098019238941
"36",35,30,0.06985,11,4,4,0.810534016662286,0.853133116883117,0.241911421911422,0.364804144359722,0.52762559686588,0.14411542741208,0.198642674100983
"37",36,601,0.06985,11,4,5,0.829915384764653,0.708965748770904,0.342331002331002,0.449736179934375,0.561676632268105,0.11863116174861,0.202391838223767
"38",37,289,0.06985,11,4,5,0.824338306390915,0.793430154670564,0.321398601398601,0.444308103714171,0.557669187968019,0.121065397400391,0.191898285038439
"39",38,139,0.06985,11,4,5,0.820523773387672,0.759587440541855,0.311655011655012,0.41845789607595,0.558089322167728,0.123503058895187,0.202391985329751
"40",39,65,0.06985,11,4,5,0.821300505481088,0.664595714363156,0.302517482517483,0.408236332712507,0.552838037085857,0.124251550603919,0.212883331925319
"41",40,30,0.06985,11,4,5,0.833530272659872,0.666743257876553,0.360979020979021,0.45800128485881,0.562781701537284,0.119939871318303,0.203900199938047
"42",41,601,0.06985,79,3,4,0.84100630269686,0.550088331194322,0.633286713286713,0.582649958588879,0.58284111879541,0.0616573472475245,0.216662442623412
"43",42,289,0.06985,79,3,4,0.840310246868544,0.532389392216978,0.632867132867133,0.571136797647216,0.571661578631157,0.0612840670106748,0.226437908455526
"44",43,139,0.06985,79,3,4,0.845113080768467,0.569195299717388,0.639020979020979,0.598239641605015,0.592051196968088,0.0607208421525577,0.21141054884402
"45",44,65,0.06985,79,3,4,0.838846218720609,0.572301587301587,0.577715617715618,0.574752573250955,0.58229122873365,0.0582814904566663,0.209181430853673
"46",45,30,0.06985,79,3,4,0.837033013289848,0.537161187263892,0.672214452214452,0.591283591231992,0.570344522358156,0.0610946933632431,0.22642103329765
"47",46,601,0.06985,79,3,5,0.838554842855124,0.551719407553412,0.581165501165501,0.562062325359124,0.56782675685424,0.0275484569260862,0.220400510751976
"48",47,289,0.06985,79,3,5,0.832089636058899,0.579679336256618,0.556456876456876,0.565722814060007,0.571019666282805,0.0249241011460854,0.210721609490774
"49",48,139,0.06985,79,3,5,0.832515492651447,0.551278760260323,0.587039627039627,0.567536237742932,0.559020490832097,0.0269850782935854,0.219662627136347
"50",49,65,0.06985,79,3,5,0.836142454658784,0.60278519427017,0.599207459207459,0.588629998820485,0.570288025188629,0.0290478045835396,0.205361718904002
"51",50,30,0.06985,79,3,5,0.831234113078357,0.547631391252228,0.568531468531469,0.550796726406787,0.568571081509562,0.0303586660067605,0.225631494466503
"52",51,601,0.06985,79,4,4,0.846353533171917,0.589744386548451,0.63016317016317,0.607010300643814,0.59110082387944,0.0575311965911848,0.200164443474946
"53",52,289,0.06985,79,4,4,0.841600135903372,0.568287485292133,0.639347319347319,0.600973189711953,0.591000348657615,0.0569729139166324,0.206877856220292
"54",53,139,0.06985,79,4,4,0.83894848727123,0.54850645182405,0.611794871794872,0.577325484838165,0.586541765987923,0.059783306736292,0.218133628554028
"55",54,65,0.06985,79,4,4,0.838315644423225,0.546542502556417,0.612074592074592,0.575568843414756,0.581939524559922,0.0603445753339948,0.219662648151487
"56",55,30,0.06985,79,4,4,0.843788761195293,0.591719036981881,0.607552447552448,0.583434283364903,0.594665896848881,0.0639064912263614,0.205371469929225
"57",56,601,0.06985,79,4,5,0.836940922565276,0.583900585837205,0.572121212121212,0.572634202062672,0.575756088025981,0.0262386505202642,0.20611769655566
"58",57,289,0.06985,79,4,5,0.830457606036149,0.563174878965323,0.565221445221445,0.557122979460568,0.572917579996375,0.0249258483128517,0.219616456872518
"59",58,139,0.06985,79,4,5,0.836278053752562,0.567412295999548,0.584289044289044,0.569088169957735,0.579063994579062,0.0256757895180228,0.213632395595731
"60",59,65,0.06985,79,4,5,0.835962164528738,0.584624765966299,0.605547785547786,0.588854641669876,0.582251641938642,0.0269835079508963,0.206935248569184
"61",60,30,0.06985,79,4,5,0.824380758397309,0.564183310941932,0.556503496503497,0.556119793450083,0.56700689719394,0.026423632542524,0.21670005972503
"62",61,601,0.058214,10,3,4,0.824429597379945,0.921756597375792,0.244568764568765,0.383916435274341,0.548469074650943,0.175786945018453,0.191155925197868
"63",62,289,0.058214,10,3,4,0.838315609402502,0.884901960784314,0.244755244755245,0.379496602840537,0.559394438723159,0.170915573404887,0.194166217993416
"64",63,139,0.058214,10,3,4,0.815338814593285,0.921085972850679,0.198601398601399,0.32351835465768,0.535269354103503,0.175970349783116,0.200927482213836
"65",64,65,0.058214,10,3,4,0.826908431945376,0.958666666666667,0.235477855477855,0.370045998147708,0.54761255694747,0.175037182942329,0.190387128310463
"66",65,30,0.058214,10,3,4,0.815089774189819,0.911318150448585,0.22013986013986,0.348988435506838,0.529677632331929,0.177289049419248,0.197904874545915
"67",66,601,0.058214,10,3,5,0.837868112299175,0.941749300788202,0.235477855477855,0.372248251725712,0.565645799981699,0.160235271711795,0.191885360726989
"68",67,289,0.058214,10,3,5,0.809059477704372,0.893333333333333,0.223216783216783,0.352372140339117,0.526384600635605,0.162293384440958,0.197890794401735
