"","SN","number.leaves","Learning.Rate","number.iteration","maximum.bin","maximum.depth","acu","precision","recall","fscore","corr","training.error","test.error"
"18",17,341,0.05,80,27,9,0.838895851697684,0.589602651984704,0.556550116550117,0.571851543248803,0.582509979732224,0.0043102765471272,0.203194427457206
"19",18,683,0.05,80,27,10,0.833838380393722,0.582185763254129,0.55967365967366,0.562401619544477,0.579730972883275,0.0031863303568869,0.210701981349483
"20",19,21,0.05,80,28,5,0.830326545857801,0.551275360346568,0.639254079254079,0.590506935086995,0.571388065011695,0.0442275763542994,0.218146489820056
"21",20,43,0.05,80,28,6,0.827764342450318,0.540084728867624,0.599440559440559,0.565752250586293,0.576428625844738,0.0239882997253326,0.22408973969386
"22",21,85,0.05,80,28,7,0.824547694723548,0.539537656501641,0.535477855477855,0.527166518324009,0.557575932746371,0.0118075864667926,0.230116020388049
"23",22,171,0.05,80,28,8,0.830408908858739,0.54957834366025,0.611841491841492,0.574851594156232,0.569423144022292,0.00768317276949779,0.221894287958703
"24",23,341,0.05,80,28,9,0.84044742935832,0.584603706730379,0.596177156177156,0.588120481081877,0.579360554431578,0.00505969090216151,0.203887380702301
"25",24,683,0.05,80,28,10,0.833944881284914,0.589061172856239,0.562703962703963,0.575347356970868,0.575228670483325,0.00374830328736638,0.203895765743387
"26",25,21,0.05,80,29,5,0.846532752012285,0.560064175521583,0.663449883449883,0.60389243737779,0.596115852759473,0.0451637449237413,0.212876039671542
"27",26,43,0.05,80,29,6,0.825288532297547,0.524306991197869,0.614592074592075,0.565518844905502,0.568954081491973,0.0252984564864956,0.231647750938641
"28",27,85,0.05,80,29,7,0.830198776479255,0.592767605633803,0.575011655011655,0.579301685586515,0.574861190627175,0.0116189112250736,0.206899270648531
"29",28,171,0.05,80,29,8,0.834306248076013,0.570644003953977,0.556410256410256,0.560975301895018,0.579696708644182,0.00674719221969846,0.212929523204288
"30",29,341,0.05,80,29,9,0.841072664097638,0.608715468504107,0.562424242424242,0.582057505658552,0.588928763622279,0.00393556920496938,0.197165330734181
"31",30,683,0.05,80,29,10,0.822455050327076,0.577236198462614,0.529230769230769,0.548313509389073,0.562328772140847,0.00393556920496938,0.209854587836353
"32",31,21,0.05,80,30,5,0.838246944097395,0.563501556856396,0.633193473193473,0.594916538198013,0.58872880825383,0.0504150936979589,0.211369653380475
"33",32,43,0.05,80,30,6,0.837222159644208,0.579367051985113,0.626853146853147,0.600735523075046,0.580128839306628,0.0191153459149493,0.205421885251448
"34",33,85,0.05,80,30,7,0.829592660758613,0.539257528110131,0.623916083916084,0.572035590473278,0.560763417264733,0.0118077623030258,0.23011902555315
"35",34,171,0.05,80,30,8,0.833218924647918,0.534089896763474,0.593286713286713,0.559583705909664,0.568199314501768,0.00768404536503691,0.22865027737884
"36",35,341,0.05,80,30,9,0.835904593903707,0.54432869962531,0.587319347319347,0.563204509750469,0.568856564525299,0.00449771665455669,0.221883360085607
"37",36,683,0.05,80,30,10,0.826674782288791,0.57064589853269,0.541445221445221,0.553228968904601,0.552729566390762,0.0037474254233259,0.213633677519306
"38",37,21,0.05,80,31,5,0.835819767969908,0.587246494464437,0.626526806526807,0.598997788996852,0.582251441654843,0.0459145666272036,0.205379854970312
"39",38,43,0.05,80,31,6,0.830709560049001,0.551830030240904,0.593240093240093,0.570029351161684,0.568819792380375,0.0239884656831257,0.218878657317451
"40",39,85,0.05,80,31,7,0.833409443125713,0.583223653820201,0.605081585081585,0.587853895936938,0.581058913696965,0.0104951441638798,0.205376912850632
"41",40,171,0.05,80,31,8,0.826448206244275,0.553577673688976,0.587039627039627,0.567081018630732,0.568655259594614,0.00655975112442497,0.21666086648787
"42",41,341,0.05,80,31,9,0.840168063878719,0.592330827067669,0.587132867132867,0.58641197017786,0.584121873571196,0.00506039424709418,0.201656980788379
"43",42,683,0.05,80,31,10,0.825645804534529,0.575430136765565,0.519440559440559,0.534663494811753,0.568343871141674,0.00393504202555122,0.213636472533001
"44",43,21,0.05,80,32,5,0.84423395152374,0.565844142815451,0.660606060606061,0.605240612517206,0.589641595833059,0.0477898590660737,0.212907226140145
"45",44,43,0.05,80,32,6,0.835900235258888,0.552842883047774,0.608717948717949,0.577151414274757,0.566441121505037,0.0221129983958665,0.218149305848892
"46",45,85,0.05,80,32,7,0.840437295164648,0.565952311374579,0.593752913752914,0.575669379847855,0.584495301472338,0.0112442038829158,0.212142716341415
"47",46,171,0.05,80,32,8,0.835912699191848,0.575930477984851,0.636456876456876,0.600832358212355,0.577098508217372,0.00637213353435564,0.206159768867078
"48",47,341,0.05,80,32,9,0.825145118415401,0.591867448306189,0.553333333333333,0.562889807519918,0.55989899445245,0.00524748432846401,0.209105440105378
"49",48,683,0.05,80,32,10,0.838690137670484,0.611931394555677,0.568717948717949,0.585281006764383,0.586873899866652,0.00318615320352839,0.195660499563516
"50",49,21,0.05,80,33,5,0.831137243460282,0.54957605619848,0.623916083916084,0.58312063444996,0.574704243830934,0.048539624764293,0.221867871927009
"51",50,43,0.05,80,33,6,0.830759184988533,0.527995197290972,0.623962703962704,0.570987334442125,0.568481107586608,0.0213639426282065,0.229372357608763
"52",51,85,0.05,80,33,7,0.831726010718179,0.55736093857833,0.568438228438228,0.562253250591017,0.563788376489966,0.0110576436152148,0.215925756870795
"53",52,171,0.05,80,33,8,0.83719162386962,0.57187168811139,0.59025641025641,0.575804976701654,0.580454722983753,0.00749590388836277,0.209099808047706
"54",53,341,0.05,80,33,9,0.833858382393923,0.589128800726313,0.540885780885781,0.562779001898751,0.573189818286772,0.00412248443795005,0.20466445755509
"55",54,683,0.05,80,33,10,0.840382750100498,0.596340672469705,0.556736596736597,0.574751851851852,0.588007938557622,0.00337306909507173,0.201651285685285
"56",55,21,0.05,80,34,5,0.843739400346464,0.563623442537135,0.673146853146853,0.609393830378082,0.592872950184638,0.0470402507643328,0.212863619723466
"57",56,43,0.05,80,34,6,0.843756371044682,0.560754179335733,0.648111888111888,0.597586060331526,0.591067797013019,0.0224891097936389,0.213652107797584
"58",57,85,0.05,80,34,7,0.833292888416281,0.583451013114671,0.572447552447552,0.564886228754679,0.577086138200745,0.012743212709875,0.214405227390125
"59",58,171,0.05,80,34,8,0.829829468595539,0.556204132152411,0.623496503496504,0.58688745982729,0.565879489450706,0.00637143084798565,0.214413486340369
"60",59,341,0.05,80,34,9,0.83488739918768,0.57722430755519,0.559254079254079,0.566795979323219,0.572402926411288,0.00524678164209401,0.209192442787331
"61",60,683,0.05,80,34,10,0.828987174262776,0.574009199857123,0.54993006993007,0.559263987111062,0.562279510544939,0.00374812646328921,0.210661485173608
"62",61,21,0.05,80,35,5,0.836436977796517,0.539090518558254,0.642517482517483,0.585339760460327,0.583861509393345,0.0477879238796649,0.221867829896727
"63",62,43,0.05,80,35,6,0.823575806489949,0.537831889271795,0.651421911421911,0.588791782952367,0.557410177665027,0.0236113160613024,0.222629334530356
"64",63,85,0.05,80,35,7,0.834170916517599,0.565465664472514,0.590629370629371,0.574037748018564,0.57231574242662,0.0155550168293386,0.211345527999102
"65",64,171,0.05,80,35,8,0.834453351190458,0.614029761904762,0.577808857808858,0.591938601992984,0.582730024072224,0.0063712533653458,0.194156740165019
